Key,Page,Section,English,Khmer,Notes
audit.badge,audit,INTRO,Free Self-Assessment,ការវាយតម្លៃខ្លួនឯងឥតគិតថ្លៃ,
audit.title,audit,INTRO,Inbox Placement Self-Audit,ការធ្វើសវនកម្មខ្លួនឯង Inbox Placement,
audit.subtitle,audit,INTRO,What most senders never check. Use this monthly. Be honest. This is how problems get caught before revenue drops.,អ្វីដែលអ្នកផ្ញើភាគច្រើនមិនដែលពិនិត្យ។ ប្រើវាប្រចាំខែ។ ស្មោះត្រង់។ នេះជារបៀបដែលបញ្ហាត្រូវបានចាប់បានមុនពេលចំណូលធ្លាក់ចុះ។,
audit.disclaimer,audit,INTRO,Important: This audit covers general best practices. Every business is different. A monthly newsletter has different needs than a daily SaaS notification. Some items here may not apply to you at all. The goal is awareness, not a perfect score.,សំខាន់៖ ការធ្វើសវនកម្មនេះគ្របដណ្តប់លើការអនុវត្តល្អបំផុតទូទៅ។ អាជីវកម្មនីមួយៗខុសគ្នា។ ព្រឹត្តិបត្រព័ត៌មានប្រចាំខែមានតម្រូវការខុសពីការជូនដំណឹង SaaS ប្រចាំថ្ងៃ។ ធាតុខ្លះនៅទីនេះប្រហែលជាមិនអនុវត្តចំពោះអ្នកទេ។ គោលដៅគឺការយល់ដឹង មិនមែនពិន្ទុល្អឥតខ្ចោះទេ។,
audit.meta_time,audit,INTRO,5-7 minutes,5-7 នាទី,
audit.meta_sections,audit,INTRO,10 sections,10 ផ្នែក,
audit.meta_tips,audit,INTRO,Personalized tips,គន្លឹះផ្ទាល់ខ្លួន,
audit.start_button,audit,INTRO,Start Audit,ចាប់ផ្តើមសវនកម្ម,
audit.section_automation,audit,SECTIONS,Automation Timing,ពេលវេលាស្វ័យប្រវត្តិកម្ម,
audit.section_header,audit,SECTIONS,Header & Footer Hygiene,អនាម័យ Header & Footer,
audit.section_tracking,audit,SECTIONS,Tracking Domain Risk,ហានិភ័យ Tracking Domain,
audit.section_engagement,audit,SECTIONS,Engagement Logic,តក្កវិជ្ជា Engagement,
audit.section_layout,audit,SECTIONS,Layout Pattern Risk,ហានិភ័យ Layout Pattern,
audit.section_sendtime,audit,SECTIONS,Send Time Logic,តក្កវិជ្ជាពេលវេលាផ្ញើ,
audit.section_migration,audit,SECTIONS,ESP Migration Risk,ហានិភ័យផ្លាស់ប្តូរ ESP,
audit.section_subject,audit,SECTIONS,Subject vs Preview Trust,ការជឿទុកចិត្ត Subject vs Preview,
audit.section_spam,audit,SECTIONS,Spam Folder Rendering,ការបង្ហាញ Spam Folder,
audit.section_validation,audit,SECTIONS,Validation Frequency,ភាពញឹកញាប់ Validation,
audit.grade_strong,audit,RESULTS,Strong Foundation,មូលដ្ឋានគ្រឹះរឹងមាំ,
audit.grade_attention,audit,RESULTS,Needs Attention,ត្រូវការការយកចិត្តទុកដាក់,
audit.grade_risk,audit,RESULTS,High Risk,ហានិភ័យខ្ពស់,
audit.out_of_100,audit,RESULTS,out of 100,ក្នុងចំណោម 100,
audit.score_by_section,audit,RESULTS,Score by Section,ពិន្ទុតាមផ្នែក,
audit.next_section,audit,BUTTONS,Next Section,ផ្នែកបន្ទាប់,
audit.see_results,audit,BUTTONS,See Results,មើលលទ្ធផល,
audit.retake,audit,BUTTONS,Retake Audit,ធ្វើសវនកម្មម្តងទៀត,
audit.save_title,audit,CAPTURE,Save Your Results,រក្សាទុកលទ្ធផលរបស់អ្នក,
audit.send_report,audit,CAPTURE,Send My Report,ផ្ញើរបាយការណ៍របស់ខ្ញុំ,
audit.report_sent,audit,CAPTURE,Report Sent!,របាយការណ៍បានផ្ញើ!,
audit.save_subtitle,audit,CAPTURE,Get a detailed report emailed and optionally join our waitlist.,ទទួលបានរបាយការណ៍លម្អិតតាមអ៊ីមែល និងចូលរួមក្នុងបញ្ជីរង់ចាំរបស់យើង (ជាជម្រើស)។,
audit.capture_newsletter,audit,CAPTURE,"Monthly deliverability insights (no spam, just signal)","ការយល់ដឹងអំពី deliverability ប្រចាំខែ (គ្មាន spam, គ្រាន់តែ signal)",
audit.capture_bonus,audit,CAPTURE,1,500 credits when we launch,1,500 credit នៅពេលយើងចាប់ផ្តើម,
audit.capture_waitlist,audit,CAPTURE,Notify me when self-serve launches,ជូនដំណឹងខ្ញុំនៅពេល self-serve ចាប់ផ្តើម,
audit.capture_contact,audit,CAPTURE,Have someone reach out to discuss my audit results (no sales pitch),ឱ្យនរណាម្នាក់ទាក់ទងមកពិភាក្សាអំពីលទ្ធផលសវនកម្មរបស់ខ្ញុំ (គ្មានការលក់),
audit.capture_skip,audit,CAPTURE,"Skip, I'll just review on screen","រំលង, ខ្ញុំនឹងគ្រាន់តែពិនិត្យមើលលើអេក្រង់",
audit.recommendations_title,audit,RESULTS,Action Items by Section,សកម្មភាពតាមផ្នែក,
audit.recommendations_subtitle,audit,RESULTS,Everything flagged based on your answers. Review what applies to you:,អ្វីគ្រប់យ៉ាងដែលបានដាក់ទង់ផ្អែកលើចម្លើយរបស់អ្នក។ ពិនិត្យមើលអ្វីដែលអនុវត្តចំពោះអ្នក៖,
audit.sos_title,audit,SOS PLUG,Not Sure What Applies to You?,មិនប្រាកដថាអ្វីអនុវត្តចំពោះអ្នក?,
audit.sos_desc,audit,SOS PLUG,Every business is different. What's critical for a daily sender might be irrelevant for a monthly newsletter. If you're unsure which items actually matter for your situation, talk to someone who's seen it all.,អាជីវកម្មនីមួយៗខុសគ្នា។ អ្វីដែលសំខាន់សម្រាប់អ្នកផ្ញើប្រចាំថ្ងៃប្រហែលជាមិនពាក់ព័ន្ធសម្រាប់ព្រឹត្តិបត្រព័ត៌មានប្រចាំខែទេ។ ប្រសិនបើអ្នកមិនច្បាស់ថាធាតុណាពិតជាសំខាន់សម្រាប់ស្ថានភាពរបស់អ្នក សូមនិយាយជាមួយអ្នកដែលបានឃើញវាទាំងអស់។,
audit.sos_badge,audit,SOS PLUG,Free. No pitch. Just answers.,ឥតគិតថ្លៃ។ គ្មានការលក់។ គ្រាន់តែចម្លើយ។,
audit.sos_card_desc,audit,SOS PLUG,"The SOS Hotline connects you with YT, a deliverability specialist who's cleaned thousands of lists and diagnosed hundreds of sending problems. Ask anything.","SOS Hotline ភ្ជាប់អ្នកជាមួយ YT ដែលជាអ្នកជំនាញ deliverability ដែលបានសម្អាតបញ្ជីរាប់ពាន់ និងធ្វើរោគវិនិច្ឆ័យបញ្ហាផ្ញើរាប់រយ។ សួរអ្វីក៏បាន។",DNT SOS Hotline, YT
audit.sos_cta,audit,SOS PLUG,Talk to a Specialist,និយាយជាមួយអ្នកជំនាញ,
audit.sos_learn_more,audit,SOS PLUG,Learn About SOS Hotline,ស្វែងយល់អំពី SOS Hotline,DNT SOS Hotline
audit.testimonial_quote,audit,TESTIMONIAL,Review My Emails goes beyond standard tools by identifying risky patterns others miss.,Review My Emails លើសពីឧបករណ៍ស្តង់ដារដោយកំណត់អត្តសញ្ញាណលំនាំហានិភ័យដែលអ្នកផ្សេងទៀតខកខាន។,DNT Review My Emails
audit.testimonial_author,audit,TESTIMONIAL,"Julia S., Italy","Julia S., Italy",DNT
audit.get_cleaning,audit,BUTTONS,Get Expert List Cleaning,ទទួលបានការសម្អាតបញ្ជីដោយអ្នកជំនាញ,
about.email_link,about,CONTENT,Email,អ៊ីមែល,
about.founder_title,about,CONTENT,"Founder, Review My Emails","ស្ថាបនិក, Review My Emails",
audit.back,audit,CONTENT,Back,ត្រឡប់ក្រោយ,
audit.built_by,audit,CONTENT,Built by,បង្កើតឡើងដោយ,
audit.get_cleaned,audit,CONTENT,Get Your List Cleaned,សម្អាតបញ្ជីរបស់អ្នក,
audit.important,audit,CONTENT,Important:,សំខាន់៖,
audit.what_cover,audit,CONTENT,What we'll cover,អ្វីដែលយើងនឹងគ្របដណ្តប់,
contact.modal_subtitle,common,CONTACT MODAL,Tell us what you're working on. We'll get back to you within one business day.,ប្រាប់យើងពីអ្វីដែលអ្នកកំពុងធ្វើ។ យើងនឹងឆ្លើយតបក្នុងរយៈពេលមួយថ្ងៃធ្វើការ។,
contact.modal_title,common,CONTACT MODAL,Get in Touch,ទាក់ទងមកយើង,
contact.submit,common,CONTACT MODAL,Send Message,ផ្ញើសារ,
footer.legal,common,FOOTER,Privacy Policy · Terms,គោលការណ៍ឯកជនភាព · លក្ខខណ្ឌ,
form.email_label,common,FORM FIELDS,Email \*,អ៊ីមែល \*,
form.message_hint,common,FORM FIELDS,Optional - but helps us prepare for the conversation.,ជាជម្រើស - ប៉ុន្តែជួយយើងរៀបចំសម្រាប់ការសន្ទនា។,
form.message_label,common,FORM FIELDS,Message,សារ,
form.message_optional_label,common,FORM FIELDS,Message (optional),សារ (ជាជម្រើស),
form.name_label,common,FORM FIELDS,Name \*,ឈ្មោះ \*,
form.timezone_label,common,FORM FIELDS,Timezone (optional),តំបន់ពេលវេលា (ជាជម្រើស),
form.timezone_select,common,FORM FIELDS,Select your timezone,ជ្រើសរើសតំបន់ពេលវេលារបស់អ្នក,
form.timezone_select_optional,common,FORM FIELDS,Select your timezone (optional),ជ្រើសរើសតំបន់ពេលវេលារបស់អ្នក (ជាជម្រើស),
form.tz_alaska,common,FORM FIELDS,Alaska Time,ម៉ោងអាឡាស្កា,
form.tz_central,common,FORM FIELDS,Central Time (CT),ម៉ោងកណ្តាល (CT),
form.tz_cet,common,FORM FIELDS,Central European Time (CET),ម៉ោងអឺរ៉ុបកណ្តាល (CET),
form.tz_eastern,common,FORM FIELDS,Eastern Time (ET),ម៉ោងខាងកើត (ET),
form.tz_eet,common,FORM FIELDS,Eastern European Time,ម៉ោងអឺរ៉ុបខាងកើត,
form.tz_gmt,common,FORM FIELDS,GMT / UTC,GMT / UTC,
form.tz_gulf,common,FORM FIELDS,Gulf Standard Time,ម៉ោងស្តង់ដារឈូង,
form.tz_hawaii,common,FORM FIELDS,Hawaii Time,ម៉ោងហាវ៉ៃ,
form.tz_india,common,FORM FIELDS,India Standard Time,ម៉ោងស្តង់ដារឥណ្ឌា,
form.tz_japan,common,FORM FIELDS,Japan Standard Time,ម៉ោងស្តង់ដារជប៉ុន,
form.tz_london,common,FORM FIELDS,London (GMT/BST),ឡុងដ៍ (GMT/BST),
form.tz_mountain,common,FORM FIELDS,Mountain Time (MT),ម៉ោងភ្នំ (MT),
form.tz_nz,common,FORM FIELDS,New Zealand Time,ម៉ោងនូវែលហ្សេឡង់,
form.tz_other,common,FORM FIELDS,Other,ផ្សេងទៀត,
form.tz_pacific,common,FORM FIELDS,Pacific Time (PT),ម៉ោងប៉ាស៊ីហ្វិក (PT),
form.tz_singapore,common,FORM FIELDS,Singapore Time,ម៉ោងសិង្ហបុរី,
form.tz_sydney,common,FORM FIELDS,Australian Eastern Time,ម៉ោងអូស្ត្រាលីខាងកើត,
modal.subtitle,common,CONTACT MODAL,Tell us about your situation and we'll get back to you within 24 hours.,ប្រាប់យើងអំពីស្ថានភាពរបស់អ្នក ហើយយើងនឹងទាក់ទងអ្នកវិញក្នុងរយៈពេល 24 ម៉ោង។,
ui.message_received,common,UI,Message Received,ទទួលបានសារ,
ui.message_sent,common,UI,Message Sent!,សារបានផ្ញើហើយ!,
ui.request_received,common,UI,Request Received,ទទួលសំណើរួចហើយ,
ui.response_time,common,UI,We'll get back to you within 24-48 hours.,យើងនឹងទាក់ទងអ្នកវិញក្នុងរយៈពេល 24-48 ម៉ោង។,
ui.response_time_business,common,UI,We'll get back to you within one business day.,យើងនឹងឆ្លើយតបក្នុងរយៈពេលមួយថ្ងៃធ្វើការ។,
dfy.consult_call_title,done-for-you,CONTENT,1:1 Call with YT,ការហៅទូរសព្ទ 1:1 ជាមួយ YT,DNT YT
dfy.contact_first,done-for-you,CONTENT,Contact Us First,ទាក់ទងមកយើងមុន,
dfy.how_read_title,done-for-you,CONTENT,How I Read Your List,របៀបដែលខ្ញុំអានបញ្ជីរបស់អ្នក,
dfy.keep_desc,done-for-you,OUTPUT,No flags found. Domain checks out, validation passed, no risk signals. These are clear to send.,រកមិនឃើញទង់ហានិភ័យ។ Domain ត្រឹមត្រូវ validation ជាប់ គ្មានសញ្ញាហានិភ័យ។ ទាំងនេះអាចផ្ញើបានដោយសុវត្ថិភាព។,
dfy.keep_title,done-for-you,OUTPUT,Safe to Mail,សុវត្ថិភាពក្នុងការផ្ញើ,DNT Keep label
dfy.modal_submit,done-for-you,MODAL,Send Request,ផ្ញើសំណើ,
dfy.modal_subtitle,done-for-you,MODAL,Tell us about your situation and we'll get back to you within 24 hours.,ប្រាប់យើងអំពីស្ថានភាពរបស់អ្នក ហើយយើងនឹងទាក់ទងអ្នកវិញក្នុងរយៈពេល 24 ម៉ោង។,
dfy.monitor_desc,done-for-you,OUTPUT,Each address comes with specific labels explaining why it landed here. Context matters.,អាសយដ្ឋាននីមួយៗមានស្លាកជាក់លាក់ពន្យល់ថាហេតុអ្វីវាមកដល់ទីនេះ។ បរិបទសំខាន់ណាស់។,
dfy.monitor_title,done-for-you,OUTPUT,Yellow Flags,ទង់លឿង,DNT Monitor label
dfy.pricing_ask,done-for-you,PRICING,Just ask,គ្រាន់តែសួរ,
dfy.pricing_questions,done-for-you,PRICING,Questions first?,មានសំណួរជាមុន?,
dfy.read1_desc,done-for-you,HOW I READ,"Domain behavior, history, and patterns across your entire list. Context, not just existence.",អាកប្បកិរិយារបស់ Domain ប្រវត្តិ និងលំនាំនៅទូទាំងបញ្ជីរបស់អ្នក។ បរិបទ មិនមែនគ្រាន់តែការមានវត្តមានទេ។,
dfy.read1_title,done-for-you,HOW I READ,I Look Beyond the Address,ខ្ញុំមើលលើសពីអាសយដ្ឋាន,
dfy.read2_desc,done-for-you,HOW I READ,Traps, role accounts, toxic domains, disposable patterns. The things that don't bounce but still hurt you.,Spam traps, គណនី role, domains ដែលមានជាតិពុល, លំនាំ disposable។ អ្វីដែលមិន bounce ប៉ុន្តែនៅតែប៉ះពាល់ដល់អ្នក។,
dfy.read2_title,done-for-you,HOW I READ,I Check What Others Miss,ខ្ញុំពិនិត្យអ្វីដែលអ្នកផ្សេងមើលរំលង,
dfy.read3_desc,done-for-you,HOW I READ,Not just labels. You get the thinking behind each decision so you understand why.,មិនមែនគ្រាន់តែស្លាកទេ។ អ្នកទទួលបានការគិតនៅពីក្រោយការសម្រេចចិត្តនីមួយៗ ដើម្បីឱ្យអ្នកយល់ពីមូលហេតុ។,
dfy.read3_title,done-for-you,HOW I READ,I Explain My Reasoning,ខ្ញុំពន្យល់ពីហេតុផលរបស់ខ្ញុំ,
dfy.sos_cta,done-for-you,SOS PLUG,Learn About SOS Hotline,ស្វែងយល់អំពី SOS Hotline,DNT SOS Hotline
dfy.sos_desc,done-for-you,SOS PLUG,Have a question before committing? Use the SOS Hotline. It is free. No sales pitch.,មានសំណួរមុនពេលសម្រេចចិត្ត? ប្រើ SOS Hotline។ វាឥតគិតថ្លៃ។ គ្មានការលក់។,DNT SOS Hotline
dfy.sos_title,done-for-you,SOS PLUG,Not Sure Yet?,នៅមិនទាន់ប្រាកដ?,
dfy.suppress_desc,done-for-you,OUTPUT,Each address comes with specific labels explaining why. Invalid, trap-likely, disposable, or other risk signals. Don't send here.,អាសយដ្ឋាននីមួយៗមានស្លាកជាក់លាក់ពន្យល់ថាហេតុអ្វី។ មិនត្រឹមត្រូវ (Invalid), ទំនងជាអន្ទាក់ (Trap), ប្រើម្តងចោល (Disposable), ឬសញ្ញាហានិភ័យផ្សេងទៀត។ កុំផ្ញើទៅកាន់ពួកវា។,
dfy.suppress_title,done-for-you,OUTPUT,Do Not Mail,ហាមផ្ញើ,DNT Suppress label
dfy.who_for1,done-for-you,WHO FOR,Running campaigns but seeing declining engagement,កំពុងដំណើរការយុទ្ធនាការប៉ុន្តែឃើញការចូលរួមធ្លាក់ចុះ,
dfy.who_for2,done-for-you,WHO FOR,"Worried about bounces, complaints, or blocklists",ព្រួយបារម្ភអំពី bounces, បណ្តឹង, ឬ blocklists,
dfy.who_for3,done-for-you,WHO FOR,Inheriting a list you did not build,ទទួលមរតកបញ្ជីដែលអ្នកមិនបានបង្កើត,
dfy.who_for4,done-for-you,WHO FOR,"Under pressure to ""just send"" but sensing risk","ស្ថិតនៅក្រោមសម្ពាធឱ្យ ""គ្រាន់តែផ្ញើ"" ប៉ុន្តែមានអារម្មណ៍ហានិភ័យ",
dfy.who_for5,done-for-you,WHO FOR,Trying to explain deliverability risks internally,ព្យាយាមពន្យល់ពីហានិភ័យ deliverability នៅក្នុងស្ថាប័ន,
dfy.who_for_title,done-for-you,WHO FOR,This Is For You If,នេះសម្រាប់អ្នកប្រសិនបើ,
dfy.who_not1,done-for-you,WHO NOT FOR,You want someone to write or send campaigns for you,អ្នកចង់ឱ្យនរណាម្នាក់សរសេរឬផ្ញើយុទ្ធនាការឱ្យអ្នក,
dfy.who_not2,done-for-you,WHO NOT FOR,You need ESP migration or setup help,អ្នកត្រូវការជំនួយការផ្លាស់ប្តូរ ESP ឬការដំឡើង,
dfy.who_not3,done-for-you,WHO NOT FOR,You want ongoing managed services,អ្នកចង់បានសេវាកម្មគ្រប់គ្រងបន្ត,
dfy.who_not4,done-for-you,WHO NOT FOR,You need content or design work,អ្នកត្រូវការការងារមាតិកាឬការរចនា,
dfy.who_not_title,done-for-you,WHO NOT FOR,Not For You If,មិនមែនសម្រាប់អ្នកប្រសិនបើ,
dfy.who_partner_cta,done-for-you,WHO FOR,Connect With a Partner,ភ្ជាប់ជាមួយដៃគូ,
dfy.who_title,done-for-you,WHO FOR,Who This Is For,សម្រាប់នរណា,
home.manifesto,homepage,MANIFESTO,You've probably run your list through a tool before. It said 95% valid. You sent anyway. Bounces happened. That's the gap between validation and understanding.,អ្នកប្រហែលជាបានដាក់បញ្ជីរបស់អ្នកតាមឧបករណ៍រួចហើយ។ វានិយាយថា 95% valid។ អ្នកបានផ្ញើទោះបីជាយ៉ាងណា។ Bounces បានកើតឡើង។ នោះគឺជាគម្លាតរវាង validation និងការយល់ដឹង។,
home.quiz_cta_btn,homepage,QUIZ CTA,Take the 2-Minute Risk Check,ធ្វើការពិនិត្យហានិភ័យ ២នាទី,
home.quiz_cta_desc,homepage,QUIZ CTA,"Take a 2-minute self-assessment. Four questions about how you built your list, and we'll tell you what risk level you're probably at.",ធ្វើការវាយតម្លៃខ្លួនឯង ២នាទី។ សំណួរបួនអំពីរបៀបដែលអ្នកបានបង្កើតបញ្ជីរបស់អ្នក ហើយយើងនឹងប្រាប់អ្នកថាអ្នកប្រហែលជានៅកម្រិតហានិភ័យណា។,
pricing.calc_heading,pricing,CALCULATOR,Calculate Your Price,គណនាតម្លៃរបស់អ្នក,
pricing.calc_intro,pricing,CALCULATOR,Simple. More volume, lower rate.,សាមញ្ញ។ បរិមាណកាន់តែច្រើន អត្រាកាន់តែទាប។,
pricing.calc_subtitle,pricing,CALCULATOR,Pay only for what you need. Credits never expire.,បង់តែអ្វីដែលអ្នកត្រូវការ។ Credit មិនដែលផុតកំណត់ទេ។,
pricing.calc_title,pricing,CALCULATOR,Pricing Calculator,ម៉ាស៊ីនគិតតម្លៃ,
pricing.compare_subtitle,pricing,COMPARISON,The difference between checking and interpreting.,ភាពខុសគ្នារវាងការពិនិត្យនិងការបកស្រាយ។,
pricing.compare_them1,pricing,COMPARISON,Validators check if an inbox exists.,Validators ពិនិត្យមើលថាតើ inbox មានឬអត់។,
pricing.compare_them2,pricing,COMPARISON,Validators give you a status.,Validators ផ្តល់ឱ្យអ្នកនូវស្ថានភាព។,
pricing.compare_them3,pricing,COMPARISON,Validators flag what bounces.,Validators ដាក់ទង់អ្វីដែល bounce។,
pricing.compare_them4,pricing,COMPARISON,Validators process volume.,Validators ដំណើរការបរិមាណ។,
pricing.compare_them5,pricing,COMPARISON,Validators leave you guessing.,Validators ទុកឱ្យអ្នកទស្សន៍ទាយ។,
pricing.compare_title,pricing,COMPARISON,What You Are Actually Paying For,អ្វីដែលអ្នកកំពុងបង់ប្រាក់ឱ្យ,
pricing.compare_us1,pricing,COMPARISON,We assess whether sending there is safe.,យើងវាយតម្លៃថាតើការផ្ញើទៅទីនោះមានសុវត្ថិភាពឬអត់។,
pricing.compare_us2,pricing,COMPARISON,We give you the reasoning behind a decision.,យើងផ្តល់ឱ្យអ្នកនូវហេតុផលនៅពីក្រោយការសម្រេចចិត្ត។,
pricing.compare_us3,pricing,COMPARISON,We flag what damages your reputation without bouncing.,យើងដាក់ទង់អ្វីដែលបំផ្លាញកេរ្តិ៍ឈ្មោះរបស់អ្នកដោយមិន bounce។,
pricing.compare_us4,pricing,COMPARISON,We interpret patterns across your entire list.,យើងបកស្រាយលំនាំនៅទូទាំងបញ្ជីទាំងមូលរបស់អ្នក។,
pricing.compare_us5,pricing,COMPARISON,We tell you what to do and why.,យើងប្រាប់អ្នកពីអ្វីដែលត្រូវធ្វើនិងមូលហេតុ។,
pricing.cta_clean_desc,pricing,CTA,Done-for-you service. Send your list, get results.,សេវាកម្ម Done-for-you។ ផ្ញើបញ្ជីរបស់អ្នក ទទួលបានលទ្ធផល។,
pricing.cta_clean_title,pricing,CTA,Get My List Cleaned,សម្អាតបញ្ជីរបស់ខ្ញុំ,
pricing.cta_help_desc,pricing,CTA,Email our SOS hotline with your questions.,អ៊ីមែលទៅកាន់ SOS hotline របស់យើងជាមួយនឹងសំណួររបស់អ្នក។,DNT SOS Hotline
pricing.cta_help_title,pricing,CTA,Get Free Help,ទទួលបានជំនួយឥតគិតថ្លៃ,
pricing.cta_waitlist_title,pricing,CTA,Join the Waitlist,ចូលរួមក្នុងបញ្ជីរង់ចាំ,
pricing.for_custom,pricing,CONTENT,for custom pricing.,សម្រាប់តម្លៃផ្ទាល់ខ្លួន។,
pricing.free_help_desc,pricing,FREE HELP,"Ask any email question. Get a real answer from a real expert. No sales pitch, no strings attached.",សួរសំណួរអ៊ីមែលណាមួយ។ ទទួលបានចម្លើយពិតពីអ្នកជំនាញពិត។ គ្មានការលក់ គ្មានលក្ខខណ្ឌ។,
pricing.free_help_title,pricing,FREE HELP,Free Email Help,ជំនួយអ៊ីមែលឥតគិតថ្លៃ,
pricing.get_started_btn,pricing,CONTENT,Get Started,ចាប់ផ្តើម,
pricing.hero_headline1,pricing,HERO,Beyond Validation.,លើសពី Validation។,
pricing.hero_headline2,pricing,HERO,We Tell You What Your List Means.,យើងប្រាប់អ្នកពីអត្ថន័យនៃបញ្ជីរបស់អ្នក។,
pricing.hero_subhead,pricing,HERO,"Not just pass/fail. Every address comes with reasoning so you know what to keep, what to monitor, and what to suppress.","មិនមែនគ្រាន់តែជាប់/ធ្លាក់ទេ។ រាល់អាសយដ្ឋានមកជាមួយហេតុផល ដើម្បីឱ្យអ្នកដឹងថាអ្វីត្រូវរក្សា អ្វីត្រូវតាមដាន និងអ្វីត្រូវ suppress។",DNT Keep/Monitor/Suppress
pricing.join,pricing,CONTENT,Join,ចូលរួម,
pricing.keep_desc,pricing,OUTPUT,No risk patterns surfaced during review. Domain behavior and historical signals support continued sending.,មិនមានលំនាំហានិភ័យលេចឡើងកំឡុងពេលពិនិត្យ។ អាកប្បកិរិយា domain និងសញ្ញាប្រវត្តិសាស្រ្តគាំទ្រការបន្តផ្ញើ។,
pricing.keep_title,pricing,OUTPUT,Cleared After Full Review,បានសម្អាតបន្ទាប់ពីការពិនិត្យពេញលេញ,
pricing.learn_more_sos,pricing,CONTENT,Learn More About SOS Hotline,ស្វែងយល់បន្ថែមអំពី SOS Hotline,DNT SOS Hotline
pricing.monitor_desc,pricing,OUTPUT,"These require judgment. We surface historical patterns and relationship context.",ទាំងនេះទាមទារការវិនិច្ឆ័យ។ យើងបង្ហាញលំនាំប្រវត្តិសាស្រ្ត និងបរិបទទំនាក់ទំនង។,
pricing.monitor_title,pricing,OUTPUT,Patterns Worth Watching,លំនាំដែលគួរតាមដាន,
pricing.need_more,pricing,CALCULATOR,Need more than 1 million?,ត្រូវការច្រើនជាង ១លាន?,
pricing.newsletter_opt,pricing,CONTENT,"Monthly deliverability insights (no spam, just signal)","ការយល់ដឹងអំពី deliverability ប្រចាំខែ (គ្មាន spam, គ្រាន់តែ signal)",
pricing.option_automation,pricing,OPTIONS,Automation,ស្វ័យប្រវត្តិកម្ម,
pricing.option_execution,pricing,OPTIONS,Execution,ការប្រតិបត្តិ,
pricing.option_guidance,pricing,OPTIONS,Guidance,ការណែនាំ,
pricing.questions_title,pricing,CONTENT,Questions?,សំណួរ?,
pricing.suppress_desc,pricing,OUTPUT,"Clear risk signals: known problem domains, disposable patterns, historical trap indicators.",សញ្ញាហានិភ័យច្បាស់លាស់៖ domain មានបញ្ហាដែលស្គាល់, លំនាំ disposable, សូចនាករអន្ទាក់ប្រវត្តិសាស្រ្ត។,
pricing.suppress_title,pricing,OUTPUT,"Clear Risk, Clear Reasoning",ហានិភ័យច្បាស់លាស់ ហេតុផលច្បាស់លាស់,
pricing.waitlist_success_short,pricing,CONTENT,You're on the list!,អ្នកនៅក្នុងបញ្ជីហើយ!,
pricing.what_you_get_subtitle,pricing,OUTPUT,A cleaned list with clear recommendations.,បញ្ជីស្អាតដែលមានអនុសាសន៍ច្បាស់លាស់។,
pricing.what_you_get_title,pricing,OUTPUT,What You Get,អ្វីដែលអ្នកទទួលបាន,
pricing.who_item1,pricing,WHO FOR,Running campaigns but seeing declining engagement,កំពុងដំណើរការយុទ្ធនាការប៉ុន្តែឃើញការចូលរួមធ្លាក់ចុះ,
pricing.who_item2,pricing,WHO FOR,"Worried about bounces, complaints, or blocklists",ព្រួយបារម្ភអំពី bounces, បណ្តឹង, ឬ blocklists,
pricing.who_item3,pricing,WHO FOR,Inheriting a list you did not build,ទទួលមរតកបញ្ជីដែលអ្នកមិនបានបង្កើត,
pricing.who_item4,pricing,WHO FOR,"Under pressure to ""just send"" but sensing risk","ស្ថិតនៅក្រោមសម្ពាធឱ្យ ""គ្រាន់តែផ្ញើ"" ប៉ុន្តែមានអារម្មណ៍ហានិភ័យ",
pricing.who_item5,pricing,WHO FOR,Trying to explain deliverability to a boss who does not get it,ព្យាយាមពន្យល់ពី deliverability ដល់ចៅហ្វាយដែលមិនយល់,
pricing.who_note,pricing,WHO FOR,"If you care about long-term reputation, not just short-term volume, this is for you.","ប្រសិនបើអ្នកខ្វល់ពីកេរ្តិ៍ឈ្មោះរយៈពេលវែង មិនមែនគ្រាន់តែបរិមាណរយៈពេលខ្លី នេះគឺសម្រាប់អ្នក។",
pricing.who_subtitle,pricing,WHO FOR,Marketers who already send email and want to protect their sender reputation.,អ្នកទីផ្សារដែលផ្ញើអ៊ីមែលរួចហើយហើយចង់ការពារកេរ្តិ៍ឈ្មោះអ្នកផ្ញើរបស់ពួកគេ។,
pricing.who_title,pricing,WHO FOR,Who This Is For,សម្រាប់នរណា,
quiz.bonus_credits,quiz,CAPTURE,1,500 credits when we launch,1,500 credit នៅពេលយើងចាប់ផ្តើម,
quiz.cta_get_diagnosis,quiz,CTA,Get the diagnosis,ទទួលបានការធ្វើរោគវិនិច្ឆ័យ,
quiz.cta_safety_check,quiz,CTA,Get a safety check,ទទួលបានការពិនិត្យសុវត្ថិភាព,
quiz.get_list_cleaned,quiz,RESULTS,Get My List Cleaned →,សម្អាតបញ្ជីរបស់ខ្ញុំ →,
quiz.loading_analyzing,quiz,LOADING,Analyzing your responses...,កំពុងវិភាគចម្លើយរបស់អ្នក...,
quiz.loading_comparing,quiz,LOADING,Comparing against common patterns,កំពុងប្រៀបធៀបជាមួយលំនាំទូទៅ,
quiz.newsletter_opt,quiz,CAPTURE,"Monthly deliverability insights (no spam, just signal)","ការយល់ដឹងអំពី deliverability ប្រចាំខែ (គ្មាន spam, គ្រាន់តែ signal)",
