Key,Page,Section,English,Vietnamese,Notes
ui.response_time_business,common,UI,We'll get back to you within one business day.,Chúng tôi sẽ phản hồi trong vòng một ngày làm việc.,
about.title,about,HERO,About,Về Chúng Tôi,
about.subtitle,about,HERO,The person behind Review My Emails.,Người đứng sau Review My Emails.,DNT Review My Emails
about.name,about,BIO,Yanna-Torry Aspraki,Yanna-Torry Aspraki,DNT name
about.role,about,BIO,"Founder, Review My Emails","Người Sáng Lập, Review My Emails",DNT Review My Emails
about.bio_p1,about,BIO,"I started Review My Emails because I kept seeing the same problem. Marketers would run their lists through validation tools, get a clean bill of health, and then watch their deliverability tank anyway.","Tôi bắt đầu Review My Emails vì tôi liên tục thấy cùng một vấn đề. Các marketer chạy danh sách qua công cụ validation, nhận kết quả sạch đẹp, nhưng rồi vẫn thấy deliverability của họ lao dốc.",DNT Review My Emails
about.bio_p2,about,BIO,The tools were not lying. They just were not telling the whole story.,Các công cụ không nói dối. Chúng chỉ không kể toàn bộ câu chuyện.,
about.bio_p3,about,BIO,"Validation checks if an address exists. It does not check if sending there is safe. It does not know about complaint histories, engagement patterns, or domain-level risk signals that accumulate over time.","Validation kiểm tra xem địa chỉ có tồn tại không. Nó không kiểm tra xem gửi đến đó có an toàn không. Nó không biết về lịch sử khiếu nại, mô hình tương tác, hay các tín hiệu rủi ro cấp tên miền tích tụ theo thời gian.",
about.bio_p4,about,BIO,"I spent years in email deliverability, working with senders of all sizes. I learned that list health is not binary. An address can be technically valid and still damage your reputation. The question is not ""will this bounce?"" but ""should I send here?""","Tôi đã dành nhiều năm trong lĩnh vực email deliverability, làm việc với người gửi ở mọi quy mô. Tôi học được rằng sức khỏe danh sách không phải là nhị phân (trắng/đen). Một địa chỉ có thể hợp lệ về mặt kỹ thuật nhưng vẫn làm hại danh tiếng của bạn. Câu hỏi không phải là ""nó có bị bounce không?"" mà là ""tôi có nên gửi đến đây không?""",
about.bio_p5,about,BIO,"That is what Review My Emails answers. Every address gets labeled Keep, Monitor, or Suppress. And every label comes with the reasoning behind it. No black boxes. No guessing.","Đó là câu trả lời mà Review My Emails mang lại. Mỗi địa chỉ được dán nhãn Giữ, Theo dõi, hoặc Chặn. Và mỗi nhãn đi kèm với lý do đằng sau nó. Không có hộp đen bí ẩn. Không phải đoán mò.",DNT Review My Emails, Keep, Monitor, Suppress
about.bio_p6,about,BIO,"If you have questions about your list or your deliverability, I am happy to talk. That is what the SOS Hotline is for.","Nếu bạn có câu hỏi về danh sách hoặc deliverability của mình, tôi rất vui được trò chuyện. Đó là lý do SOS Hotline tồn tại.",DNT SOS Hotline
about.cta_title,about,CTA,Questions?,Câu Hỏi?,
about.cta_subtitle,about,CTA,Talk through your situation. No pitch. Just answers.,Trao đổi về tình huống của bạn. Không chào hàng. Chỉ có câu trả lời.,
about.cta_sos,about,CTA,Learn About SOS Hotline,Tìm Hiểu Về SOS Hotline,DNT SOS Hotline
about.cta_pricing,about,CTA,See Pricing,Xem Giá,
about.team_title,about,TEAM,The Team,Đội Ngũ,
about.team_subtitle,about,TEAM,Need a hand (or eight)? We have got you covered.,Cần một bàn tay giúp đỡ (hay tám bàn tay)? Chúng tôi lo được.,
about.team_contact,about,TEAM,Get in touch:,Liên hệ:,
about.modal_title,about,MODAL,Get in Touch,Liên Hệ,
about.modal_subtitle,about,MODAL,Tell us what you're working on. We'll get back to you within one business day.,Hãy cho chúng tôi biết bạn đang làm gì. Chúng tôi sẽ phản hồi trong vòng một ngày làm việc.,
about.modal_success,about,MODAL,Message Sent!,Đã Gửi Tin Nhắn!,
about.modal_close,about,MODAL,Close,Đóng,
footer.tagline,common,FOOTER,We see what algorithms can't.,Chúng tôi thấy những gì thuật toán không thể thấy.,
footer.services,common,FOOTER,Services,Dịch Vụ,
footer.company,common,FOOTER,Company,Công Ty,
footer.contact,common,FOOTER,Contact,Liên Hệ,
footer.security,common,FOOTER,Security,Bảo Mật,
footer.copyright,common,FOOTER,© 2026 Review My Emails. All rights reserved.,© 2026 Review My Emails. Bảo lưu mọi quyền.,DNT brand
footer.privacy,common,FOOTER,Privacy Policy,Chính Sách Bảo Mật,
footer.terms,common,FOOTER,Terms,Điều Khoản,
lang.select,common,LANGUAGE,Language,Ngôn Ngữ,
lang.current_en,common,LANGUAGE,Language: English,Ngôn Ngữ: Tiếng Việt,
ui.loading,common,UI,Loading...,Đang tải...,
ui.submit,common,UI,Submit,Gửi,
ui.cancel,common,UI,Cancel,Hủy,
ui.close,common,UI,Close,Đóng,
ui.learn_more,common,UI,Learn More,Tìm Hiểu Thêm,
ui.view_details,common,UI,View Details,Xem Chi Tiết,
ui.success,common,UI,Success!,Thành Công!,
ui.error,common,UI,Something went wrong. Please try again.,Đã xảy ra lỗi. Vui lòng thử lại.,
ui.required,common,UI,Required,Bắt buộc,
og.headline,common,OG IMAGE,Stop guessing what's wrong with your list,Ngừng đoán già đoán non về vấn đề danh sách của bạn,Main text on OG image
og.subhead,common,OG IMAGE,We find the problems tools miss,Chúng tôi tìm ra vấn đề mà công cụ bỏ sót,Secondary text
og.tagline,common,OG IMAGE,Expert Email List Cleaning,Làm Sạch Danh Sách Email Chuyên Gia,Bottom tagline
easter.fish_message,common,EASTER EGG,You found me! Here's 20% off your first order.,Bạn tìm thấy tôi rồi! Tặng bạn giảm giá 20% cho đơn hàng đầu tiên.,Optional
easter.fish_coupon,common,EASTER EGG,Coupon: DEEPDIVE20,Mã giảm giá: DEEPDIVE20,DNT coupon code
easter.exit_button,common,EASTER EGG,Return to Surface,Quay Lại Mặt Nước,
easter.hint,common,EASTER EGG,Something is swimming in the deep...,Có thứ gì đó đang bơi dưới đáy sâu...,
ui.menu_open,common,UI,Open menu,Mở menu,Accessibility label
ui.menu_close,common,UI,Close menu,Đóng menu,Accessibility label
nav.home,common,NAVIGATION,Home,Trang Chủ,
nav.how_it_works,common,NAVIGATION,How It Works,Cách Hoạt Động,
nav.pricing,common,NAVIGATION,Pricing,Giá Cả,
nav.sos_hotline,common,NAVIGATION,SOS Hotline,SOS Hotline,DNT SOS Hotline
nav.about,common,NAVIGATION,About,Về Chúng Tôi,
nav.partner,common,NAVIGATION,Partner,Đối Tác,
nav.quiz,common,NAVIGATION,Free Quiz,Quiz Miễn Phí,
nav.audit,common,NAVIGATION,Self-Audit,Tự Kiểm Tra,
nav.cta,common,NAVIGATION,Get My List Cleaned,Làm Sạch Danh Sách,
audit.sos_badge,audit,SOS PLUG,Free. No pitch. Just answers.,Miễn phí. Không chào hàng. Chỉ có câu trả lời.,
audit.get_cleaning,audit,BUTTONS,Get Expert List Cleaning,Nhận Dịch Vụ Làm Sạch Chuyên Gia,
audit.what_cover,audit,CONTENT,What we'll cover,Những gì chúng ta sẽ đề cập,
partner.cta_title,partner,CTA,Interested?,Quan Tâm?,
partner.cta_subtitle,partner,CTA,Reach out to discuss how we can work together. No pitch deck required. Just tell us what you are trying to solve.,Liên hệ để thảo luận cách hợp tác. Không cần hồ sơ năng lực. Chỉ cần cho biết bạn đang cố giải quyết vấn đề gì.,
partner.cta_button,partner,CTA,Email Us,Gửi Email,
partner.modal_title,partner,MODAL,Partner With Us,Hợp Tác Với Chúng Tôi,
partner.modal_subtitle,partner,MODAL,Tell us about your business and we'll get back to you within 24 hours.,Kể về doanh nghiệp của bạn và chúng tôi sẽ phản hồi trong 24 giờ.,
partner.modal_placeholder,partner,MODAL,Tell us about your business and how you'd like to partner...,Kể về doanh nghiệp của bạn và mong muốn hợp tác...,
partner.modal_button,partner,MODAL,Send Message,Gửi Tin Nhắn,
partner.modal_success_title,partner,MODAL,Message Received,Đã Nhận Tin Nhắn,
partner.modal_success_text,partner,MODAL,We'll get back to you within 24 hours.,Chúng tôi sẽ phản hồi trong vòng 24 giờ.,
